"CITY","WEATHER","VISIBILITY","TEMP","TEMP_MIN","TEMP_MAX","PRESSURE","HUMIDITY","WIND_SPEED","WIND_DEG","SEASON","FORECAST_DATETIME"
"Seoul","Clear",0.0790569415042095,-0.248198564004002,-0.529032536079741,-0.25556257959252,-0.443745877512055,0.00432554545529472,-0.338364622558672,0.821478628125019,"Spring",2021-04-16 12:00:00
"Seoul","Clear",0.0790569415042095,-0.424146066520684,-0.758706256726102,-0.431668048712878,-0.311036830031814,-0.11102233335256,-0.864914045657714,-0.21199645035583,"Spring",2021-04-16 15:00:00
"Seoul","Clouds",0.0790569415042095,-0.736243422175275,-0.965412605307826,-0.744045607033514,-0.443745877512055,-0.226370212160415,-1.04043052002406,-0.328993629051775,"Spring",2021-04-16 18:00:00
"Seoul","Clouds",0.0790569415042095,-1.18030140471738,-1.16376718222968,-1.18850226719442,-0.576454924992296,-0.226370212160415,-1.10271055931535,-1.29422035329332,"Spring",2021-04-16 21:00:00
"Seoul","Clouds",0.0790569415042095,-0.715297290923289,-0.700243855107028,-0.723080670233472,-0.576454924992296,-0.745435666795761,-0.462924701141241,1.41621428649607,"Spring",2021-04-17 00:00:00
"Seoul","Rain",0.0790569415042095,-0.78860875030524,-0.77332185713087,-0.796457949033621,-0.576454924992296,-0.11102233335256,0.261788483339161,1.00672416106027,"Spring",2021-04-17 03:00:00
"Seoul","Clouds",0.0790569415042095,-0.442997584647471,-0.428811276161329,-0.450536491832917,-0.841873019952777,-0.34171809096827,1.62628752599367,1.0847222801909,"Spring",2021-04-17 06:00:00
"Seoul","Rain",0.0790569415042095,-0.786514137180041,-0.771233914215903,-0.794361455353617,-0.841873019952777,0.408043121282786,1.61496388248616,1.00672416106027,"Spring",2021-04-17 09:00:00
"Seoul","Rain",0.0790569415042095,-0.920569377192752,-0.904862260773786,-0.92853705087389,-0.709163972472536,0.0619994848592221,1.20731271621594,1.13347110464754,"Spring",2021-04-17 12:00:00
"Seoul","Clear",0.0790569415042095,-1.08394920095824,-1.0677218081412,-1.09206355791422,-0.709163972472536,0.696412818302423,0.969516202558304,1.17247016421285,"Spring",2021-04-17 15:00:00
"Seoul","Clear",0.0790569415042095,-1.24313979847334,-1.22640546967869,-1.25139707759455,-0.709163972472536,1.10013039412991,1.09973810289463,1.23096875356083,"Spring",2021-04-17 18:00:00
"Seoul","Clear",0.0790569415042095,-1.33530277598207,-1.31827495793723,-1.34364279951473,-0.576454924992296,0.869434636514205,1.29224004252223,1.33821616736544,"Spring",2021-04-17 21:00:00
"Seoul","Clear",0.0790569415042095,-0.631512765915345,-0.616726138508352,-0.639220923033301,-0.443745877512055,-0.284044151564342,2.32835342345906,1.50396217051803,"Spring",2021-04-18 00:00:00
"Seoul","Clear",0.0790569415042095,0.323630819175216,0.335375830716561,0.316780195048645,-0.576454924992296,-1.14915324262325,1.779156713345,1.41621428649607,"Spring",2021-04-18 03:00:00
"Seoul","Clear",0.0790569415042095,0.809581064221291,0.819778586988884,0.803166728809635,-0.841873019952777,-1.49519687904682,1.73386213931498,1.27971757801747,"Spring",2021-04-18 06:00:00
"Seoul","Clear",0.0790569415042095,0.551943649821863,0.562961608447954,0.54529800616911,-0.709163972472536,-1.14915324262325,1.60364023897866,1.24071851845216,"Spring",2021-04-18 09:00:00
"Seoul","Clear",0.0790569415042095,-0.0492103171101348,-0.0362780081475501,-0.0563956799921148,-0.443745877512055,-0.457065969776124,0.56752685804183,1.19196969399551,"Spring",2021-04-18 12:00:00
"Seoul","Clear",0.0790569415042095,-0.407389161519095,-0.393316246606892,-0.414896099272844,-0.311036830031814,-0.226370212160415,-0.576161136216304,0.870227452581663,"Spring",2021-04-18 15:00:00
"Seoul","Clear",0.0790569415042095,-0.732054195924878,-0.716947398426764,-0.739852619673506,-0.311036830031814,0.119673424263149,-0.49689563166376,0.450987562254526,"Spring",2021-04-18 18:00:00
"Seoul","Clear",0.0790569415042095,-0.9980700628251,-0.982116148627561,-1.00610731703405,-0.311036830031814,0.696412818302423,-0.564837492708798,0.304741088884595,"Spring",2021-04-18 21:00:00
"Seoul","Clear",0.0790569415042095,-0.237725498378009,-0.224192870494572,-0.245080111192499,-0.178327782551573,-0.572413848583979,-0.327040979051166,0.49973638671117,"Spring",2021-04-19 00:00:00
"Seoul","Clear",0.0790569415042095,0.815864903596886,0.826042415733785,0.809456209849647,-0.311036830031814,-1.55287081845074,0.641130540840621,0.821478628125019,"Spring",2021-04-19 03:00:00
"Seoul","Clouds",0.0790569415042095,1.0923538361231,1.10165088050942,1.08619337561021,-0.576454924992296,-1.72589263666253,1.09407628114087,0.88972698236432,"Spring",2021-04-19 06:00:00
"Seoul","Clouds",0.0790569415042095,0.72160731296295,0.732084984560274,0.715113994249455,-0.576454924992296,-1.26450112143111,0.550541392780571,0.840978157907677,"Spring",2021-04-19 09:00:00
"Seoul","Clouds",0.0790569415042095,0.0492364997741995,0.0618553088558949,0.0421395229680859,-0.311036830031814,-0.11102233335256,-0.355350087819932,0.694731684537745,"Spring",2021-04-19 12:00:00
"Seoul","Clear",0.0790569415042095,-0.241914724628406,-0.228368756324506,-0.249273098552507,-0.0456187350713327,0.523391000090641,-0.655426640768848,0.411988502689211,"Spring",2021-04-19 15:00:00
"Seoul","Clear",0.0790569415042095,-0.470227555275053,-0.455954534055899,-0.477790909672972,-0.0456187350713327,0.754086757706351,-0.763001254090158,0.314490853775923,"Spring",2021-04-19 18:00:00
